,id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction,Flight Date
7075,48347,Female,Loyal Customer,57,Business travel,Eco,522,4,3,3,3,5,3,2,4,4,4,4,5,4,3,0,0.0,satisfied,2023-12-20
7076,39219,Female,Loyal Customer,45,Business travel,Business,2656,1,1,2,1,1,3,2,5,5,5,5,5,5,5,2,0.0,satisfied,2025-08-15
7077,11468,Male,Loyal Customer,26,Business travel,Eco Plus,247,1,5,5,5,1,1,2,1,2,1,4,4,4,1,0,8.0,neutral or dissatisfied,2023-06-19
7078,119853,Female,Loyal Customer,34,Business travel,Business,3937,3,3,3,3,1,4,1,5,5,5,5,2,5,2,0,0.0,satisfied,2023-01-23
7079,32699,Male,Loyal Customer,38,Business travel,Eco,216,3,2,2,2,3,3,3,3,4,2,3,3,4,3,0,0.0,neutral or dissatisfied,2025-05-10
7080,117975,Male,Loyal Customer,28,Personal Travel,Eco,255,4,5,0,4,5,0,5,5,1,3,3,5,5,5,29,42.0,neutral or dissatisfied,2024-03-28
7081,7927,Female,Loyal Customer,8,Personal Travel,Eco Plus,1020,1,0,0,2,4,0,1,4,3,5,5,3,5,4,0,0.0,neutral or dissatisfied,2025-09-12
7082,82448,Male,Loyal Customer,52,Business travel,Business,502,1,1,1,1,3,4,5,4,4,4,4,5,4,5,0,0.0,satisfied,2025-08-14
7083,44545,Male,Loyal Customer,19,Personal Travel,Eco,157,2,5,2,1,1,2,1,1,3,3,4,5,5,1,0,0.0,neutral or dissatisfied,2023-08-20
7084,17884,Male,Loyal Customer,7,Personal Travel,Eco,425,3,2,3,4,1,3,1,1,3,3,2,3,3,1,5,51.0,neutral or dissatisfied,2024-06-26
7085,23357,Female,Loyal Customer,53,Personal Travel,Eco Plus,563,4,1,4,3,1,4,4,4,4,4,4,2,4,3,0,0.0,satisfied,2023-02-20
7086,67301,Male,Loyal Customer,53,Business travel,Business,964,5,5,5,5,2,4,5,4,4,4,4,5,4,3,0,0.0,satisfied,2025-01-28
7087,89594,Female,disloyal Customer,22,Business travel,Business,1035,5,4,5,1,5,5,2,5,5,2,5,4,4,5,0,,satisfied,2023-02-17
7088,55775,Female,Loyal Customer,30,Business travel,Eco,646,3,2,2,2,3,3,3,3,4,4,3,1,2,3,0,0.0,neutral or dissatisfied,2024-08-13
7089,29807,Male,Loyal Customer,35,Business travel,Business,3483,3,3,3,3,4,2,2,4,4,4,4,5,4,4,0,5.0,satisfied,2025-04-29
7090,1881,Female,Loyal Customer,20,Personal Travel,Eco,931,3,4,3,1,5,3,4,5,3,2,5,3,4,5,0,0.0,neutral or dissatisfied,2024-01-24
7091,42398,Female,Loyal Customer,29,Business travel,Eco Plus,834,2,2,2,2,2,2,2,2,3,5,4,4,4,2,23,28.0,neutral or dissatisfied,2024-10-14
7092,121095,Female,Loyal Customer,31,Personal Travel,Eco,1558,1,5,1,4,3,1,3,3,4,4,4,4,5,3,25,43.0,neutral or dissatisfied,2025-02-04
7093,79368,Female,Loyal Customer,45,Business travel,Business,502,4,4,4,4,5,4,5,5,5,4,5,3,5,3,0,0.0,satisfied,2025-10-28
7094,76554,Female,Loyal Customer,39,Business travel,Business,1554,3,5,5,5,5,2,1,3,3,2,3,2,3,4,0,15.0,neutral or dissatisfied,2024-03-13
7095,107196,Female,Loyal Customer,19,Personal Travel,Eco,668,3,5,3,4,2,3,2,2,3,3,4,4,4,2,0,0.0,neutral or dissatisfied,2024-12-28
7096,109646,Female,Loyal Customer,47,Business travel,Business,973,1,1,1,1,4,4,4,2,2,3,2,3,2,4,0,8.0,satisfied,2024-11-08
7097,6245,Female,Loyal Customer,65,Personal Travel,Eco,594,2,5,2,3,1,2,2,1,1,2,1,4,1,4,0,0.0,neutral or dissatisfied,2025-08-26
7098,66025,Male,disloyal Customer,24,Business travel,Eco,1055,2,2,2,3,2,2,2,2,3,5,4,1,4,2,64,63.0,neutral or dissatisfied,2024-06-23
7099,95231,Female,Loyal Customer,70,Personal Travel,Eco,528,2,4,2,2,2,5,4,1,1,2,1,4,1,5,0,0.0,neutral or dissatisfied,2024-04-10
7100,95472,Male,Loyal Customer,58,Business travel,Business,2059,2,2,2,2,3,4,5,5,5,5,5,3,5,5,0,0.0,satisfied,2023-02-27
7101,62333,Female,Loyal Customer,59,Personal Travel,Eco,236,3,5,3,1,4,4,3,3,3,3,5,4,3,2,0,0.0,neutral or dissatisfied,2023-01-30
7102,20222,Male,disloyal Customer,37,Business travel,Business,228,5,5,5,2,4,5,4,4,2,2,5,1,4,4,0,0.0,satisfied,2023-06-03
7103,51262,Female,Loyal Customer,34,Business travel,Eco Plus,110,5,4,1,4,5,5,5,5,2,1,5,3,5,5,28,19.0,satisfied,2025-02-10
7104,104026,Female,Loyal Customer,58,Business travel,Business,3028,4,4,4,4,4,5,5,4,4,4,4,4,4,3,14,0.0,satisfied,2025-06-01
7105,73317,Female,Loyal Customer,43,Business travel,Business,1197,2,2,2,2,4,5,4,4,4,4,4,4,4,5,0,0.0,satisfied,2025-02-27
7106,2317,Female,Loyal Customer,70,Personal Travel,Eco,691,4,2,4,3,3,3,3,4,4,4,4,3,4,1,16,13.0,neutral or dissatisfied,2024-04-20
7107,98849,Male,Loyal Customer,21,Personal Travel,Eco Plus,1482,4,5,3,3,1,3,1,1,4,3,5,3,4,1,0,0.0,neutral or dissatisfied,2025-06-04
7108,122797,Female,disloyal Customer,24,Business travel,Eco,599,3,0,3,3,1,3,1,1,5,4,5,5,4,1,0,0.0,neutral or dissatisfied,2024-02-14
7109,114707,Female,Loyal Customer,41,Business travel,Business,446,5,5,5,5,5,4,5,4,4,4,4,4,4,3,4,0.0,satisfied,2024-06-26
7110,87399,Female,Loyal Customer,60,Personal Travel,Eco,425,2,0,2,5,2,4,5,4,4,2,5,3,4,4,0,0.0,neutral or dissatisfied,2023-11-22
7111,88647,Female,Loyal Customer,19,Personal Travel,Eco,240,3,5,3,1,2,3,2,2,4,3,5,4,5,2,0,0.0,neutral or dissatisfied,2024-06-09
7112,92075,Female,Loyal Customer,44,Business travel,Business,1522,2,2,2,2,5,4,4,4,4,4,4,4,4,5,0,0.0,satisfied,2023-02-26
7113,23194,Female,Loyal Customer,37,Business travel,Eco Plus,250,5,4,4,4,5,5,5,5,1,3,4,4,2,5,0,0.0,satisfied,2023-10-07
7114,99892,Male,disloyal Customer,24,Business travel,Eco,738,3,3,3,3,3,3,3,3,1,1,2,3,3,3,0,0.0,neutral or dissatisfied,2024-06-05
7115,35013,Male,disloyal Customer,28,Business travel,Eco,740,4,4,4,4,1,4,1,1,2,1,5,4,4,1,10,54.0,satisfied,2024-04-06
7116,35836,Female,disloyal Customer,43,Business travel,Eco,1023,2,2,2,4,2,2,2,2,2,2,4,4,4,2,63,106.0,neutral or dissatisfied,2025-05-13
7117,41345,Male,disloyal Customer,48,Business travel,Business,956,3,3,3,3,5,3,5,5,2,4,3,2,4,5,89,102.0,neutral or dissatisfied,2024-12-24
7118,10569,Male,Loyal Customer,48,Business travel,Eco,301,3,1,3,3,3,3,3,3,2,1,4,3,4,3,0,0.0,neutral or dissatisfied,2025-12-22
7119,123044,Male,Loyal Customer,37,Business travel,Business,3385,3,3,3,3,4,5,4,5,5,5,5,5,5,5,0,0.0,satisfied,2023-09-19
7120,56509,Male,Loyal Customer,44,Business travel,Business,2880,3,3,3,3,2,4,5,5,5,5,5,4,5,5,0,0.0,satisfied,2023-03-14
7121,54682,Male,disloyal Customer,18,Business travel,Eco,956,2,2,2,4,5,2,5,5,3,1,4,3,4,5,1,0.0,neutral or dissatisfied,2023-11-14
7122,49864,Male,Loyal Customer,37,Business travel,Business,1577,2,2,2,2,2,1,5,4,4,4,4,3,4,2,0,0.0,satisfied,2024-12-23
7123,97827,Female,Loyal Customer,25,Business travel,Business,3425,3,4,4,4,3,3,3,3,4,2,4,3,4,3,66,76.0,neutral or dissatisfied,2024-01-13
7124,9863,Male,Loyal Customer,17,Personal Travel,Eco,717,3,5,3,1,3,3,3,4,3,5,4,3,5,3,131,122.0,neutral or dissatisfied,2025-07-01
7125,79143,Female,Loyal Customer,41,Personal Travel,Eco Plus,226,2,5,2,2,5,5,4,2,2,2,2,4,2,5,52,42.0,neutral or dissatisfied,2023-06-20
7126,16049,Male,Loyal Customer,34,Business travel,Business,3871,5,5,5,5,2,5,3,5,5,5,5,4,5,1,0,0.0,satisfied,2025-09-23
7127,70605,Male,Loyal Customer,59,Personal Travel,Eco,2611,2,1,2,1,2,1,1,3,1,1,1,1,3,1,0,0.0,neutral or dissatisfied,2024-03-06
7128,54628,Female,Loyal Customer,34,Business travel,Business,2852,5,5,5,5,5,2,1,5,5,5,5,3,5,2,0,0.0,satisfied,2024-05-26
7129,38248,Male,Loyal Customer,36,Business travel,Eco,1050,1,3,3,3,1,1,1,1,4,4,2,2,2,1,0,0.0,neutral or dissatisfied,2023-06-28
7130,26687,Female,Loyal Customer,68,Personal Travel,Eco,515,3,5,3,1,2,4,5,5,5,3,5,4,5,4,0,0.0,neutral or dissatisfied,2025-12-16
7131,17096,Female,Loyal Customer,30,Business travel,Business,1604,3,3,3,3,4,4,4,4,1,1,2,4,5,4,0,0.0,satisfied,2024-10-11
7132,28132,Male,disloyal Customer,27,Business travel,Eco,550,3,3,3,3,2,3,2,2,4,2,1,2,5,2,0,0.0,neutral or dissatisfied,2024-12-17
7133,52045,Male,disloyal Customer,20,Business travel,Business,639,0,0,0,3,5,0,2,5,4,4,5,5,4,5,25,31.0,satisfied,2024-12-24
7134,42125,Female,Loyal Customer,16,Personal Travel,Eco,964,3,4,3,3,1,3,1,1,4,4,4,3,5,1,0,6.0,neutral or dissatisfied,2025-02-02
7135,124314,Female,Loyal Customer,34,Business travel,Business,2200,2,2,2,2,1,4,3,4,4,4,4,2,4,5,0,0.0,satisfied,2024-02-04
7136,18131,Female,disloyal Customer,26,Business travel,Eco,120,4,4,4,4,3,4,3,3,2,2,1,2,2,3,0,0.0,neutral or dissatisfied,2023-07-14
7137,100140,Female,Loyal Customer,41,Business travel,Business,523,3,3,3,3,3,4,5,4,4,4,4,3,4,3,0,0.0,satisfied,2023-03-27
7138,24409,Female,Loyal Customer,32,Business travel,Business,3267,2,2,2,2,5,5,5,5,4,4,1,2,1,5,0,0.0,satisfied,2024-10-09
7139,29613,Female,Loyal Customer,31,Business travel,Business,1448,3,5,5,5,3,3,3,3,4,2,2,4,2,3,32,30.0,neutral or dissatisfied,2025-09-20
7140,100379,Female,Loyal Customer,56,Personal Travel,Eco,1092,1,4,1,4,3,4,3,4,4,1,4,5,4,4,43,58.0,neutral or dissatisfied,2024-03-20
7141,34913,Female,Loyal Customer,39,Business travel,Eco,187,5,1,1,1,5,5,5,5,3,4,5,1,5,5,0,0.0,satisfied,2024-03-18
7142,44703,Female,Loyal Customer,14,Personal Travel,Eco,67,5,5,5,4,4,5,4,4,1,3,2,5,2,4,0,0.0,satisfied,2024-12-30
7143,48401,Female,Loyal Customer,23,Business travel,Eco Plus,522,3,4,4,4,3,3,2,3,2,4,4,4,4,3,0,0.0,neutral or dissatisfied,2024-10-28
7144,128230,Female,Loyal Customer,62,Personal Travel,Eco,602,1,3,1,3,3,2,2,4,4,1,4,1,4,2,0,0.0,neutral or dissatisfied,2025-09-15
7145,119828,Male,Loyal Customer,25,Business travel,Business,3867,3,4,5,4,3,3,3,3,4,4,3,2,2,3,34,16.0,neutral or dissatisfied,2023-07-09
7146,4779,Female,Loyal Customer,44,Business travel,Business,2825,1,1,1,1,2,4,4,3,3,3,3,3,3,5,0,0.0,satisfied,2023-03-24
7147,13326,Female,Loyal Customer,23,Personal Travel,Business,748,3,5,3,2,5,3,5,5,4,2,4,4,4,5,36,33.0,neutral or dissatisfied,2023-03-22
7148,13344,Male,Loyal Customer,25,Business travel,Eco,748,4,3,3,3,4,4,5,4,2,2,5,2,5,4,0,0.0,satisfied,2024-10-07
7149,34555,Female,Loyal Customer,38,Business travel,Eco,1598,2,3,3,3,2,3,2,2,4,4,5,3,2,2,0,0.0,satisfied,2023-04-20
7150,13034,Female,Loyal Customer,68,Personal Travel,Eco,304,3,4,3,3,2,4,4,2,2,3,4,5,2,3,16,56.0,neutral or dissatisfied,2024-03-03
7151,662,Female,Loyal Customer,48,Business travel,Business,102,4,3,4,4,5,4,4,5,5,5,5,5,5,4,0,0.0,satisfied,2023-06-07
7152,33042,Female,Loyal Customer,41,Personal Travel,Eco,101,1,4,1,3,4,1,4,4,4,3,4,5,5,4,0,0.0,neutral or dissatisfied,2024-11-18
7153,91689,Male,Loyal Customer,15,Personal Travel,Business,588,3,4,3,4,1,3,1,1,3,4,5,5,5,1,13,21.0,neutral or dissatisfied,2024-04-13
7154,19046,Female,Loyal Customer,31,Business travel,Business,2526,5,5,5,5,5,5,5,3,2,3,5,5,5,5,182,185.0,satisfied,2023-07-02
7155,13400,Female,Loyal Customer,65,Personal Travel,Eco,505,3,4,3,1,3,5,5,2,2,3,2,3,2,3,59,49.0,neutral or dissatisfied,2024-06-10
7156,107777,Female,Loyal Customer,69,Business travel,Eco Plus,405,3,2,2,2,5,4,3,2,2,3,2,3,2,2,14,12.0,neutral or dissatisfied,2023-04-22
7157,33343,Female,Loyal Customer,42,Business travel,Eco,2399,5,2,2,2,4,4,3,5,5,5,5,3,5,1,2,0.0,satisfied,2023-02-25
7158,6770,Male,disloyal Customer,26,Business travel,Business,235,5,0,5,1,2,5,2,2,5,4,5,3,4,2,25,23.0,satisfied,2025-04-28
7159,59365,Female,disloyal Customer,24,Business travel,Eco,1407,2,2,2,4,1,2,1,1,4,5,2,3,3,1,5,0.0,neutral or dissatisfied,2025-07-07
7160,66688,Male,Loyal Customer,30,Business travel,Business,3427,3,5,5,5,3,3,3,4,4,4,4,3,2,3,151,147.0,neutral or dissatisfied,2023-06-16
7161,18909,Female,Loyal Customer,49,Personal Travel,Eco,448,1,5,2,2,4,4,1,2,2,2,3,4,2,2,64,60.0,neutral or dissatisfied,2023-05-17
7162,95293,Male,Loyal Customer,34,Personal Travel,Eco,239,1,4,1,2,2,1,2,2,5,4,5,3,5,2,17,8.0,neutral or dissatisfied,2024-07-05
7163,87514,Female,Loyal Customer,17,Personal Travel,Eco,373,4,5,4,1,4,4,4,4,3,2,4,5,4,4,0,0.0,satisfied,2024-03-06
7164,16063,Male,disloyal Customer,42,Business travel,Eco,744,2,2,2,4,4,2,4,4,5,4,2,3,2,4,0,0.0,neutral or dissatisfied,2023-08-26
7165,1336,Female,disloyal Customer,23,Business travel,Eco,134,3,4,3,3,1,3,1,1,4,4,5,3,4,1,0,1.0,neutral or dissatisfied,2025-11-10
7166,13222,Female,Loyal Customer,26,Business travel,Business,1683,4,4,4,4,3,3,3,3,3,2,2,5,3,3,42,28.0,satisfied,2025-02-15
7167,44395,Female,Loyal Customer,45,Business travel,Eco,265,4,1,2,1,4,1,1,4,4,4,4,5,4,3,5,0.0,satisfied,2025-04-06
7168,128734,Male,Loyal Customer,30,Business travel,Business,1464,4,4,4,4,5,5,5,5,5,5,4,3,5,5,0,0.0,satisfied,2023-07-23
7169,23845,Male,disloyal Customer,52,Business travel,Business,552,1,1,1,4,5,1,5,5,5,2,5,3,4,5,0,0.0,neutral or dissatisfied,2024-07-21
7170,116183,Female,Loyal Customer,55,Personal Travel,Eco,480,3,4,3,4,1,3,4,1,1,3,3,1,1,1,8,0.0,neutral or dissatisfied,2024-02-11
7171,42097,Female,Loyal Customer,31,Business travel,Business,996,1,1,1,1,2,2,2,2,5,3,2,1,2,2,0,0.0,satisfied,2024-10-09
7172,118646,Female,Loyal Customer,50,Business travel,Business,368,1,1,1,1,5,5,5,4,4,4,4,5,4,5,0,0.0,satisfied,2024-09-15
7173,124372,Male,Loyal Customer,36,Business travel,Business,808,1,1,1,1,4,4,5,5,5,4,5,3,5,3,0,0.0,satisfied,2023-03-11
7174,103510,Female,Loyal Customer,50,Business travel,Eco,1047,3,3,3,3,2,4,3,3,3,3,3,1,3,1,0,0.0,neutral or dissatisfied,2025-01-29
7175,109618,Female,Loyal Customer,17,Business travel,Business,808,4,4,4,4,4,4,4,3,5,4,5,4,3,4,224,221.0,satisfied,2025-04-24
7176,39130,Female,Loyal Customer,61,Business travel,Business,228,4,5,5,5,4,4,4,4,4,4,4,2,4,3,0,0.0,neutral or dissatisfied,2025-03-16
7177,18155,Female,Loyal Customer,27,Business travel,Business,1669,4,4,4,4,5,4,5,5,3,4,5,4,5,5,0,0.0,satisfied,2023-09-13
7178,3507,Female,disloyal Customer,23,Business travel,Business,968,4,0,5,3,2,5,2,2,5,5,5,4,4,2,26,29.0,satisfied,2024-03-09
7179,46627,Female,disloyal Customer,24,Business travel,Eco,125,2,2,2,3,2,2,2,2,4,1,3,1,2,2,0,0.0,neutral or dissatisfied,2023-05-24
7180,22051,Male,Loyal Customer,35,Business travel,Eco,304,5,2,4,2,5,5,5,5,2,2,2,3,5,5,0,0.0,satisfied,2025-03-30
7181,102145,Male,disloyal Customer,21,Business travel,Eco,488,4,4,4,1,1,4,1,1,4,5,4,3,4,1,0,0.0,satisfied,2024-10-28
7182,104902,Female,Loyal Customer,52,Business travel,Business,1565,5,5,5,5,3,5,4,4,4,4,4,4,4,5,0,1.0,satisfied,2025-12-18
7183,50510,Male,Loyal Customer,8,Personal Travel,Eco,109,3,5,3,1,1,3,3,1,4,4,4,5,4,1,0,0.0,neutral or dissatisfied,2024-05-10
7184,44041,Male,Loyal Customer,45,Business travel,Eco,287,1,4,3,3,1,1,1,1,2,4,3,4,4,1,0,0.0,neutral or dissatisfied,2025-09-10
7185,46470,Female,disloyal Customer,20,Business travel,Eco,73,2,4,2,4,2,2,2,2,3,3,3,1,4,2,0,0.0,neutral or dissatisfied,2025-09-03
7186,112948,Female,Loyal Customer,18,Personal Travel,Eco,1242,2,5,2,3,4,2,5,4,5,5,3,4,2,4,14,0.0,neutral or dissatisfied,2024-06-23
7187,10513,Male,Loyal Customer,60,Business travel,Business,140,4,4,5,4,5,5,4,4,4,4,5,3,4,4,0,0.0,satisfied,2025-10-02
7188,49170,Male,Loyal Customer,32,Business travel,Business,337,5,5,5,5,3,4,3,3,3,3,5,5,5,3,0,11.0,satisfied,2023-11-01
7189,101529,Male,Loyal Customer,44,Personal Travel,Eco,345,3,2,3,2,3,3,3,3,1,4,1,1,1,3,0,0.0,neutral or dissatisfied,2024-10-31
7190,125994,Male,Loyal Customer,69,Personal Travel,Business,631,3,5,4,5,3,5,5,2,2,4,5,4,2,3,3,0.0,neutral or dissatisfied,2025-12-01
7191,126906,Female,Loyal Customer,51,Business travel,Business,2045,3,3,3,3,2,4,5,5,5,5,5,3,5,5,8,11.0,satisfied,2023-07-15
7192,14686,Male,disloyal Customer,35,Business travel,Eco,419,2,3,2,3,2,3,3,2,4,4,4,3,4,3,162,131.0,neutral or dissatisfied,2025-10-30
7193,46430,Female,Loyal Customer,16,Personal Travel,Eco,649,2,3,2,4,5,2,5,5,3,1,3,4,3,5,0,0.0,neutral or dissatisfied,2025-05-17
7194,106863,Female,Loyal Customer,53,Business travel,Business,3044,1,1,1,1,5,4,4,4,4,4,4,3,4,5,0,0.0,satisfied,2025-01-06
7195,22936,Male,Loyal Customer,40,Business travel,Eco,817,4,3,3,3,4,4,4,4,2,4,1,2,4,4,19,5.0,satisfied,2025-02-18
7196,85353,Male,Loyal Customer,69,Business travel,Eco Plus,696,2,2,2,2,2,2,2,2,1,5,3,4,4,2,0,0.0,neutral or dissatisfied,2023-05-12
7197,20502,Female,Loyal Customer,25,Personal Travel,Eco,139,2,4,2,3,5,2,5,5,3,4,4,4,4,5,9,22.0,neutral or dissatisfied,2024-03-02
7198,80363,Female,disloyal Customer,38,Business travel,Eco,368,2,3,2,2,5,2,5,5,1,4,3,3,2,5,4,0.0,neutral or dissatisfied,2023-04-13
7199,17778,Female,Loyal Customer,50,Business travel,Eco,1214,4,5,5,5,4,4,4,3,3,4,3,4,5,4,148,129.0,satisfied,2023-05-08
7200,12357,Female,Loyal Customer,35,Business travel,Eco,305,3,1,1,1,3,3,3,3,1,5,3,4,3,3,0,0.0,neutral or dissatisfied,2023-11-05
7201,126259,Female,disloyal Customer,27,Business travel,Eco,600,1,2,1,3,1,2,2,3,3,4,3,2,3,2,244,235.0,neutral or dissatisfied,2023-09-07
7202,89783,Male,Loyal Customer,41,Personal Travel,Eco,1080,3,4,3,3,3,2,2,4,2,4,5,2,5,2,149,149.0,neutral or dissatisfied,2023-03-14
7203,28418,Female,Loyal Customer,27,Business travel,Business,1399,4,4,4,4,5,5,5,5,1,4,4,4,3,5,0,0.0,satisfied,2023-08-27
7204,124503,Male,Loyal Customer,46,Business travel,Eco,930,4,5,4,4,5,4,5,5,3,2,4,3,4,5,1,0.0,neutral or dissatisfied,2025-05-02
7205,85116,Female,Loyal Customer,60,Business travel,Business,813,2,2,2,2,3,4,5,5,5,5,5,4,5,5,0,0.0,satisfied,2023-07-29
7206,92125,Male,Loyal Customer,21,Personal Travel,Eco,1589,3,5,3,3,4,3,4,4,3,3,4,4,4,4,0,0.0,neutral or dissatisfied,2024-01-05
7207,82312,Male,Loyal Customer,53,Business travel,Business,1855,3,3,4,3,5,4,5,2,2,2,2,5,2,3,22,8.0,satisfied,2023-04-12
7208,25608,Male,Loyal Customer,47,Business travel,Eco,666,4,3,3,3,4,4,4,4,5,5,2,4,2,4,6,2.0,satisfied,2024-06-07
7209,46226,Male,Loyal Customer,46,Business travel,Eco,594,4,3,5,5,4,4,4,4,2,5,1,2,3,4,55,49.0,satisfied,2025-06-07
7210,78778,Male,Loyal Customer,59,Business travel,Business,1730,3,3,3,3,3,3,3,3,3,3,3,1,3,1,0,0.0,neutral or dissatisfied,2025-07-10
7211,59247,Female,Loyal Customer,57,Business travel,Business,3801,5,5,5,5,5,5,5,3,3,4,5,5,4,5,75,95.0,satisfied,2024-09-10
7212,78055,Male,Loyal Customer,47,Personal Travel,Eco,332,2,5,2,3,2,2,2,2,1,3,4,1,4,2,39,23.0,neutral or dissatisfied,2025-03-24
7213,107092,Male,Loyal Customer,60,Business travel,Eco,562,2,4,4,4,2,2,2,2,1,1,2,4,2,2,38,32.0,neutral or dissatisfied,2023-11-08
7214,99331,Female,Loyal Customer,24,Personal Travel,Eco,448,3,5,5,3,2,5,2,2,5,5,5,5,5,2,0,0.0,neutral or dissatisfied,2024-10-22
7215,5662,Male,Loyal Customer,53,Business travel,Business,2072,5,5,5,5,4,4,4,3,3,4,3,4,3,4,9,15.0,satisfied,2024-03-18
7216,25897,Female,Loyal Customer,57,Personal Travel,Eco,907,3,5,3,1,5,4,5,2,2,3,2,4,2,3,0,0.0,neutral or dissatisfied,2025-04-26
7217,33689,Male,Loyal Customer,58,Business travel,Business,1533,5,5,5,5,1,1,3,5,5,5,5,3,5,1,0,0.0,satisfied,2023-08-23
7218,44344,Male,Loyal Customer,11,Personal Travel,Eco Plus,230,3,4,0,4,4,0,4,4,5,3,5,5,5,4,0,0.0,neutral or dissatisfied,2025-07-09
7219,55994,Male,Loyal Customer,52,Business travel,Business,2586,5,1,5,5,5,5,5,3,2,5,5,5,4,5,112,124.0,satisfied,2023-02-21
7220,62103,Male,Loyal Customer,7,Personal Travel,Business,2565,5,4,5,4,5,5,5,5,3,4,4,1,4,5,0,0.0,satisfied,2025-04-08
7221,93565,Female,Loyal Customer,33,Business travel,Business,159,3,3,3,3,2,4,4,4,4,4,4,4,4,3,0,0.0,satisfied,2023-10-06
7222,37645,Female,Loyal Customer,10,Personal Travel,Eco,1144,3,5,3,4,2,3,2,2,4,3,5,3,5,2,16,0.0,neutral or dissatisfied,2023-06-24
7223,14444,Female,Loyal Customer,40,Business travel,Business,674,1,3,1,1,4,4,3,5,5,5,5,5,5,5,0,0.0,satisfied,2025-10-31
7224,58103,Male,Loyal Customer,49,Personal Travel,Eco,589,4,3,4,3,3,4,3,3,2,1,4,2,1,3,1,0.0,satisfied,2025-04-13
7225,42965,Female,Loyal Customer,54,Business travel,Business,3732,2,2,2,2,5,4,3,5,5,5,5,4,5,1,0,0.0,satisfied,2023-04-24
7226,34606,Female,Loyal Customer,29,Personal Travel,Eco,1598,1,4,1,3,5,1,2,5,4,2,4,3,4,5,0,0.0,neutral or dissatisfied,2025-03-11
7227,101519,Female,Loyal Customer,25,Personal Travel,Eco,345,1,4,1,4,4,1,4,4,4,1,4,1,3,4,0,0.0,neutral or dissatisfied,2025-07-04
7228,23724,Female,disloyal Customer,27,Business travel,Eco Plus,196,2,3,3,4,4,3,2,4,2,1,4,4,3,4,0,0.0,neutral or dissatisfied,2024-09-12
7229,18147,Female,Loyal Customer,66,Personal Travel,Business,306,4,4,3,3,2,3,4,5,5,3,3,4,5,3,0,0.0,neutral or dissatisfied,2025-07-02
7230,79140,Female,Loyal Customer,23,Business travel,Eco Plus,356,1,2,3,3,1,1,4,1,4,5,4,3,3,1,0,9.0,neutral or dissatisfied,2023-08-18
7231,79998,Female,Loyal Customer,67,Personal Travel,Eco,1010,2,4,2,3,5,5,4,2,2,2,4,4,2,2,0,4.0,neutral or dissatisfied,2025-08-02
7232,3618,Male,disloyal Customer,39,Business travel,Business,427,4,4,4,3,2,4,4,2,5,4,5,4,4,2,20,26.0,neutral or dissatisfied,2024-08-04
7233,61459,Male,Loyal Customer,28,Business travel,Business,2419,5,5,3,5,4,4,4,4,3,3,4,4,4,4,8,0.0,satisfied,2023-07-30
7234,33350,Female,Loyal Customer,16,Business travel,Business,2614,5,5,5,5,4,4,4,4,5,2,4,2,3,4,0,0.0,satisfied,2025-07-15
7235,40448,Female,disloyal Customer,38,Business travel,Eco,150,2,0,3,1,3,3,3,3,3,1,4,3,5,3,0,0.0,neutral or dissatisfied,2023-01-04
7236,8539,Male,Loyal Customer,59,Business travel,Business,3418,5,5,5,5,2,4,5,5,5,5,5,4,5,4,0,0.0,satisfied,2023-08-14
7237,33502,Female,Loyal Customer,30,Business travel,Business,965,2,2,5,2,3,3,3,3,1,4,5,1,5,3,17,23.0,satisfied,2025-11-20
7238,108844,Male,disloyal Customer,42,Business travel,Business,2139,2,1,1,3,2,2,3,2,5,5,5,5,4,2,0,5.0,neutral or dissatisfied,2025-09-20
7239,7285,Male,Loyal Customer,10,Personal Travel,Eco,135,3,4,0,4,0,4,4,4,3,4,5,4,5,4,489,491.0,neutral or dissatisfied,2024-12-30
7240,39456,Male,Loyal Customer,49,Personal Travel,Eco,129,3,2,3,3,3,3,3,3,4,5,2,2,3,3,0,10.0,neutral or dissatisfied,2025-01-11
7241,100255,Female,Loyal Customer,45,Business travel,Business,1708,5,5,5,5,3,4,4,4,4,4,4,5,4,3,5,0.0,satisfied,2025-11-12
7242,15054,Female,Loyal Customer,56,Business travel,Eco,176,5,3,3,3,1,3,3,5,5,5,5,1,5,3,0,0.0,satisfied,2025-10-06
7243,36768,Male,Loyal Customer,44,Business travel,Business,2704,2,2,2,2,1,2,2,1,1,3,3,2,5,2,0,1.0,neutral or dissatisfied,2024-11-02
7244,11233,Female,Loyal Customer,69,Personal Travel,Eco,163,0,4,0,3,1,2,3,2,2,0,2,1,2,4,2,0.0,satisfied,2023-10-28
7245,114408,Male,disloyal Customer,40,Business travel,Business,337,5,0,0,3,2,0,2,2,5,2,5,3,5,2,8,8.0,satisfied,2024-01-10
7246,20520,Male,disloyal Customer,27,Business travel,Business,133,5,5,5,2,2,0,2,2,3,4,5,3,4,2,0,0.0,satisfied,2024-01-11
